id,created_at,reference,power_real,power_counter,power_real_temp,pac_sum,pac_sum_counter,pac_sum_temp,total_energy,co2factor,update_at,day_energy
134,2022-03-12 21:00:00,edlv,4092.48,60,245549,"0","0","0","0","0",2022-03-12 21:59:03,
135,2022-03-12 22:00:00,comfenalco1,5383.24,360,1937970,"0",360,"0",27943300,4593320,2022-03-12 22:59:52,
136,2022-03-12 22:00:00,takurika1,344.926,360,124173,"0",360,"0",11770500,1934840,2022-03-12 22:59:53,
137,2022-03-12 22:00:00,edlv,4115.79,60,246948,"0","0","0","0","0",2022-03-12 22:59:03,
138,2022-03-12 23:00:00,comfenalco1,5372.23,360,1934000,"0",360,"0",27943300,4593320,2022-03-12 23:59:52,
139,2022-03-12 23:00:00,takurika1,345.322,360,124316,"0",360,"0",11770500,1934840,2022-03-12 23:59:53,
140,2022-03-12 23:00:00,edlv,4614.42,60,276865,"0","0","0","0","0",2022-03-12 23:59:04,
141,2022-03-13 00:00:00,comfenalco1,5298.67,360,1907520,"0",360,"0",27943300,4593320,2022-03-13 00:59:52,
142,2022-03-13 00:00:00,takurika1,345.445,360,124360,"0",359,"0",11770500,1934840,2022-03-13 00:59:52,
143,2022-03-13 00:00:00,edlv,4248.77,60,254926,"0","0","0","0","0",2022-03-13 00:59:03,
144,2022-03-13 01:00:00,comfenalco1,5338,360,1921680,"0",360,"0",27943300,4593320,2022-03-13 01:59:55,
145,2022-03-13 01:00:00,takurika1,345.842,360,124503,"0",360,"0",11770500,1934840,2022-03-13 01:59:55,
146,2022-03-13 01:00:00,edlv,4067.08,60,244025,"0","0","0","0","0",2022-03-13 01:59:05,
147,2022-03-13 02:00:00,takurika1,345.882,360,124518,"0",359,"0",11770500,1934840,2022-03-13 02:59:54,
148,2022-03-13 02:00:00,comfenalco1,5107.97,360,1838870,"0",360,"0",27943300,4593320,2022-03-13 02:59:55,
149,2022-03-13 02:00:00,edlv,3881.16,60,232870,"0","0","0","0","0",2022-03-13 02:59:05,
150,2022-03-13 03:00:00,takurika1,344.963,360,124187,"0",360,"0",11770500,1934840,2022-03-13 03:59:55,
151,2022-03-13 03:00:00,comfenalco1,5099.37,360,1835770,"0",360,"0",27943300,4593320,2022-03-13 03:59:55,
152,2022-03-13 03:00:00,edlv,3808.25,60,228495,"0","0","0","0","0",2022-03-13 03:59:05,
153,2022-03-13 04:00:00,takurika1,346.511,360,124744,"0",360,"0",11770500,1934840,2022-03-13 04:59:54,
154,2022-03-13 04:00:00,edlv,3859.72,60,231583,"0","0","0","0","0",2022-03-13 04:59:05,
155,2022-03-13 04:00:00,comfenalco1,4828.92,360,1738410,"0",360,"0",27943300,4593320,2022-03-13 04:59:55,
156,2022-03-13 05:00:00,takurika1,335.094,360,120634,"0",360,"0",11770500,1934840,2022-03-13 05:59:54,
157,2022-03-13 05:00:00,comfenalco1,4940.85,360,1778710,"0.000000000000340119",360,"0.000000000122443",27943300,4593320,2022-03-13 05:59:55,
158,2022-03-13 05:00:00,edlv,3875.04,60,232503,"0","0","0","0","0",2022-03-13 05:59:05,
159,2022-03-13 06:00:00,takurika1,-71.1785,360,-25624.3,2.26184,360,814.263,11770800,1934880,2022-03-13 06:59:54,
160,2022-03-13 06:00:00,comfenalco1,4352.5,360,1566900,6.78271,360,2441.78,27943900,4593420,2022-03-13 06:59:55,
161,2022-03-13 06:00:00,edlv,2688.83,60,161330,"0","0","0","0","0",2022-03-13 06:59:05,
162,2022-03-13 07:00:00,takurika1,-2215.03,360,-797411,10.947,359,3929.98,11773100,1935260,2022-03-13 07:59:54,
163,2022-03-13 07:00:00,edlv,1317.8,59,77750,"0","0","0","0","0",2022-03-13 07:59:05,
164,2022-03-13 07:00:00,comfenalco1,560.077,360,201628,14.9767,360,5391.61,27948100,4594120,2022-03-13 07:59:55,
165,2022-03-13 08:00:00,takurika1,-4722.44,360,-1700080,11.5038,360,4141.37,11777900,1936050,2022-03-13 08:59:54,
166,2022-03-13 08:00:00,comfenalco1,157.188,360,56587.8,15.6095,360,5619.43,27953200,4594950,2022-03-13 08:59:55,
167,2022-03-13 08:00:00,edlv,140.792,60,8447.51,"0","0","0","0","0",2022-03-13 08:59:05,
168,2022-03-13 09:00:00,takurika1,-8011.91,360,-2884290,32.7666,360,11796,11786000,1937390,2022-03-13 09:59:54,
169,2022-03-13 09:00:00,edlv,64.6476,60,3878.86,"0","0","0","0","0",2022-03-13 09:59:04,
170,2022-03-13 09:00:00,comfenalco1,403.873,360,145394,26.1026,360,9396.92,27960000,4596070,2022-03-13 09:59:55,
171,2022-03-13 10:00:00,takurika1,-9093.29,360,-3273580,43.1281,360,15526.1,11795200,1938900,2022-03-13 10:59:54,
172,2022-03-13 10:00:00,edlv,29.4347,60,1766.08,"0","0","0","0","0",2022-03-13 10:59:05,
173,2022-03-13 10:00:00,comfenalco1,118.725,360,42740.9,25.093,360,9033.46,27968200,4597410,2022-03-13 10:59:55,
174,2022-03-13 11:00:00,takurika1,-9901.13,360,-3564410,13.2096,359,4742.25,11805300,1940560,2022-03-13 11:59:54,
175,2022-03-13 11:00:00,edlv,22.424,60,1345.44,"0","0","0","0","0",2022-03-13 11:59:05,
176,2022-03-13 11:00:00,comfenalco1,76.8044,360,27649.6,25.3818,360,9137.45,27977100,4598880,2022-03-13 11:59:55,
177,2022-03-13 12:00:00,takurika1,-7345.44,360,-2644360,22.6691,360,8160.87,11812800,1941790,2022-03-13 12:59:53,
178,2022-03-13 12:00:00,edlv,27.2165,60,1632.99,"0","0","0","0","0",2022-03-13 12:59:02,
179,2022-03-13 12:00:00,comfenalco1,85.0256,360,30609.2,20.7718,360,7477.83,27986100,4600360,2022-03-13 12:59:53,
180,2022-03-13 13:00:00,edlv,24.3653,60,1461.92,"0","0","0","0","0",2022-03-13 13:59:03,
181,2022-03-13 13:00:00,comfenalco1,84.6764,360,30483.5,22.9054,360,8245.96,27994900,4601810,2022-03-13 13:59:53,
182,2022-03-13 13:00:00,takurika1,-6580.56,360,-2369000,15.3351,360,5520.63,11819500,1942890,2022-03-13 13:59:54,
183,2022-03-13 14:00:00,edlv,39.089,60,2345.34,"0","0","0","0","0",2022-03-13 14:59:02,
184,2022-03-13 14:00:00,comfenalco1,88.8272,360,31977.8,22.3563,360,8048.26,28004000,4603300,2022-03-13 14:59:52,
185,2022-03-13 14:00:00,takurika1,-8368.96,360,-3012830,19.2369,360,6925.29,11828000,1944290,2022-03-13 14:59:53,
186,2022-03-13 15:00:00,comfenalco1,114.448,360,41201.4,26.9557,360,9704.04,28013500,4604860,2022-03-13 15:59:53,
187,2022-03-13 15:00:00,edlv,15.3017,60,918.101,"0","0","0","0","0",2022-03-13 15:59:02,
188,2022-03-13 15:00:00,takurika1,-8124.2,360,-2924710,20.7166,360,7457.96,11836300,1945650,2022-03-13 15:59:53,
189,2022-03-13 16:00:00,edlv,32.4972,60,1949.83,"0","0","0","0","0",2022-03-13 16:59:02,
190,2022-03-13 16:00:00,comfenalco1,118.206,360,42554.3,26.0476,360,9377.13,28022300,4606310,2022-03-13 16:59:52,
191,2022-03-13 16:00:00,takurika1,-5668.35,360,-2040600,11.8917,360,4281.03,11842200,1946610,2022-03-13 16:59:53,
192,2022-03-13 17:00:00,comfenalco1,2261,360,813959,7.68226,360,2765.61,28028000,4607230,2022-03-13 17:59:52,
193,2022-03-13 17:00:00,edlv,1158.3,60,69497.7,"0","0","0","0","0",2022-03-13 17:59:02,
194,2022-03-13 17:00:00,takurika1,-2506.47,360,-902328,2.64627,360,952.656,11844800,1947040,2022-03-13 17:59:53,
195,2022-03-13 18:00:00,comfenalco1,5533.97,360,1992230,"0",360,"0",28028500,4607320,2022-03-13 18:59:52,
196,2022-03-13 18:00:00,edlv,3456.2,60,207372,"0","0","0","0","0",2022-03-13 18:59:02,
197,2022-03-13 18:00:00,takurika1,158.337,360,57001.2,"0",360,"0",11844900,1947070,2022-03-13 18:59:53,
198,2022-03-13 19:00:00,comfenalco1,5864.93,360,2111380,"0",360,"0",28028500,4607320,2022-03-13 19:59:52,
199,2022-03-13 19:00:00,edlv,4156.55,60,249393,"0","0","0","0","0",2022-03-13 19:59:02,
200,2022-03-13 19:00:00,takurika1,337.134,360,121368,"0",360,"0",11844900,1947070,2022-03-13 19:59:53,
201,2022-03-13 20:00:00,comfenalco1,5818.57,360,2094690,"0",360,"0",28028500,4607320,2022-03-13 20:59:53,
202,2022-03-13 20:00:00,edlv,4170.72,60,250243,"0","0","0","0","0",2022-03-13 20:59:02,
203,2022-03-13 20:00:00,takurika1,353.386,360,127219,"0",360,"0",11844900,1947070,2022-03-13 20:59:53,
204,2022-03-13 21:00:00,comfenalco1,5496.12,360,1978600,"0",360,"0",28028500,4607320,2022-03-13 21:59:52,
205,2022-03-13 21:00:00,edlv,4068.21,60,244093,"0","0","0","0","0",2022-03-13 21:59:02,
206,2022-03-13 21:00:00,takurika1,348.618,360,125502,"0",360,"0",11844900,1947070,2022-03-13 21:59:53,
207,2022-03-13 22:00:00,comfenalco1,5719.65,360,2059070,"0",360,"0",28028500,4607320,2022-03-13 22:59:52,
208,2022-03-13 22:00:00,edlv,4373.01,60,262381,"0","0","0","0","0",2022-03-13 22:59:02,
209,2022-03-13 22:00:00,takurika1,347.104,360,124957,"0",360,"0",11844900,1947070,2022-03-13 22:59:53,
210,2022-03-13 23:00:00,comfenalco1,5447.75,360,1961190,"0",360,"0",28028500,4607320,2022-03-13 23:59:52,
211,2022-03-13 23:00:00,edlv,4006.67,60,240400,"0","0","0","0","0",2022-03-13 23:59:01,
212,2022-03-13 23:00:00,takurika1,347.043,360,124935,"0",360,"0",11844900,1947070,2022-03-13 23:59:53,
213,2022-03-14 00:00:00,comfenalco1,5570.02,360,2005210,"0",360,"0",28028500,4607320,2022-03-14 00:59:52,
214,2022-03-14 00:00:00,edlv,3718.19,60,223091,"0","0","0","0","0",2022-03-14 00:59:01,
215,2022-03-14 00:00:00,takurika1,345.769,360,124477,"0",360,"0",11844900,1947070,2022-03-14 00:59:53,
216,2022-03-14 01:00:00,comfenalco1,4939.98,360,1778390,"0",360,"0",28028500,4607320,2022-03-14 01:59:56,
217,2022-03-14 01:00:00,edlv,3825.56,60,229534,"0","0","0","0","0",2022-03-14 01:59:06,
218,2022-03-14 01:00:00,takurika1,345.617,360,124422,"0",360,"0",11844900,1947070,2022-03-14 01:59:55,
219,2022-03-14 02:00:00,takurika1,344.896,360,124163,"0",359,"0",11844900,1947070,2022-03-14 02:59:55,
220,2022-03-14 02:00:00,edlv,3831.45,60,229887,"0","0","0","0","0",2022-03-14 02:59:05,
221,2022-03-14 02:00:00,comfenalco1,4974.3,360,1790750,"0",360,"0",28028500,4607320,2022-03-14 02:59:56,
222,2022-03-14 03:00:00,takurika1,346.734,360,124824,"0",360,"0",11844900,1947070,2022-03-14 03:59:55,
223,2022-03-14 03:00:00,comfenalco1,4681.81,360,1685450,"0",360,"0",28028500,4607320,2022-03-14 03:59:56,
224,2022-03-14 03:00:00,edlv,3733.39,60,224003,"0","0","0","0","0",2022-03-14 03:59:05,
225,2022-03-14 04:00:00,takurika1,345.884,354,122443,"0",348,"0",11844900,1947070,2022-03-14 04:59:55,"0"
226,2022-03-14 04:00:00,edlv,4010.88,60,240653,"0","0","0","0","0",2022-03-14 04:59:05,
227,2022-03-14 04:00:00,comfenalco1,4660.35,354,1649760,"0",348,"0",28028500,4607320,2022-03-14 04:59:56,"0"
228,2022-03-14 05:00:00,takurika1,208.158,360,74936.7,"0",318,"0",11844900,1947070,2022-03-14 05:59:54,"0"
229,2022-03-14 05:00:00,edlv,4135.2,60,248112,"0","0","0","0","0",2022-03-14 05:59:05,
230,2022-03-14 05:00:00,comfenalco1,4812.18,360,1732390,"0.00000000000000304203",318,"0.000000000000967366",28028500,4607320,2022-03-14 05:59:56,"0"
231,2022-03-14 06:00:00,takurika1,-271.995,360,-97918,2.42898,360,874.433,11845300,1947130,2022-03-14 06:59:54,360
232,2022-03-14 06:00:00,comfenalco1,18844.3,360,6783930,9.38431,360,3378.35,28029600,4607510,2022-03-14 06:59:55,1124
233,2022-03-14 06:00:00,edlv,2300.52,60,138031,"0","0","0","0","0",2022-03-14 06:59:05,
234,2022-03-14 07:00:00,takurika1,-1879.56,353,-663486,10.3193,339,3498.26,11847300,1947450,2022-03-14 07:59:59,2346
235,2022-03-14 07:00:00,edlv,3253.43,60,195206,"0","0","0","0","0",2022-03-14 07:59:05,
236,2022-03-14 07:00:00,comfenalco1,26705.6,360,9614030,42.9311,360,15455.2,28038500,4608960,2022-03-14 07:59:55,9979
237,2022-03-14 08:00:00,takurika1,-5103.81,307,-1566870,22.9106,306,7010.64,11852400,1948300,2022-03-14 08:59:54,7497
